address,city,county,state,zip,rent,bedrooms,bath_full,bath_partial,garage,description
7140 University Ave,Rock Springs,Sweetwater,WY,82901,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
64 5th Ave #1153,Mc Lean,Fairfax,VA,22102,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
3 Secor Rd,New Orleans,Orleans,LA,70112,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4 Webbs Chapel Rd,Boulder,Boulder,CO,80303,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
524 Louisiana Ave Nw,San Leandro,Alameda,CA,94577,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
185 Blackstone Bldge,Honolulu,Honolulu,HI,96817,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
170 Wyoming Ave,Burnsville,Dakota,MN,55337,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4 10th St W,High Point,Guilford,NC,27263,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
7 W Pinhook Rd,Lynbrook,Nassau,NY,11563,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
1 Commerce Way,Portland,Washington,OR,97224,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
64 Lakeview Ave,Beloit,Rock,WI,53511,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
3 Aspen St,Worcester,Worcester,MA,1602,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
32860 Sierra Rd,Miami,Miami-Dade,FL,33133,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
555 Main St,Erie,Erie,PA,16502,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2 Se 3rd Ave,Mesquite,Dallas,TX,75149,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2239 Shawnee Mission Pky,Tullahoma,Coffee,TN,37388,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2726 Charcot Ave,Paterson,Passaic,NJ,7501,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
5161 Dorsett Rd,Homestead,Miami-Dade,FL,33030,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
55892 Jacksonville Rd,Owings Mills,Baltimore,MD,21117,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
5 N Cleveland Massillon Rd,Thousand Oaks,Ventura,CA,91362,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
7 Benton Dr,Honolulu,Honolulu,HI,96819,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
9390 S Howell Ave,Albany,Dougherty,GA,31701,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
8 County Center Dr #647,Boston,Suffolk,MA,2210,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4646 Kaahumanu St,Hackensack,Bergen,NJ,7601,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2 Monroe St,San Mateo,San Mateo,CA,94403,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
52777 Leaders Heights Rd,Ontario,San Bernardino,CA,91761,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
72868 Blackington Ave,Oakland,Alameda,CA,94606,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
9 Norristown Rd,Troy,Rensselaer,NY,12180,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
83 County Road 437 #8581,Clarks Summit,Lackawanna,PA,18411,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
1 N Harlem Ave #9,Orange,Essex,NJ,7050,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
90131 J St,Pittstown,Hunterdon,NJ,8867,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
8597 W National Ave,Cocoa,Brevard,FL,32922,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
6 Gilson St,Bronx,Bronx,NY,10468,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
65 W Maple Ave,Pearl City,Honolulu,HI,96782,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
866 34th Ave,Denver,Denver,CO,80231,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
798 Lund Farm Way,Rockaway,Morris,NJ,7866,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
9387 Charcot Ave,Absecon,Atlantic,NJ,8201,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
30553 Washington Rd,Plainfield,Union,NJ,7062,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
481 W Lemon St,Middleboro,Plymouth,MA,2346,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4 Warehouse Point Rd #7,Chicago,Cook,IL,60638,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4940 Pulaski Park Dr,Portland,Multnomah,OR,97202,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
627 Walford Ave,Dallas,Dallas,TX,75227,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
137 Pioneer Way,Chicago,Cook,IL,60604,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
61 13 Stoneridge #835,Findlay,Hancock,OH,45840,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2409 Alabama Rd,Riverside,Riverside,CA,92501,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
8927 Vandever Ave,Waco,McLennan,TX,76707,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
134 Lewis Rd,Nashville,Davidson,TN,37211,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
9 N College Ave #3,Milwaukee,Milwaukee,WI,53216,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
60480 Old Us Highway 51,Preston,Caroline,MD,21655,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4 Bloomfield Ave,Irving,Dallas,TX,75061,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
429 Tiger Ln,Beverly Hills,Los Angeles,CA,90212,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
54169 N Main St,Massapequa,Nassau,NY,11758,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
92 Main St,Atlantic City,Atlantic,NJ,8401,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
72 Mannix Dr,Cincinnati,Hamilton,OH,45203,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
12270 Caton Center Dr,Eugene,Lane,OR,97401,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
749 W 18th St #45,Smithfield,Johnston,NC,27577,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
8 Industry Ln,New York,New York,NY,10002,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
1 Huntwood Ave,Phoenix,Maricopa,AZ,85017,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
55262 N French Rd,Indianapolis,Marion,IN,46240,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
422 E 21st St,Syracuse,Onondaga,NY,13214,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
501 N 19th Ave,Cherry Hill,Camden,NJ,8002,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
455 N Main Ave,Garden City,Nassau,NY,11530,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
1844 Southern Blvd,Little Rock,Pulaski,AR,72202,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2023 Greg St,Saint Paul,Ramsey,MN,55101,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
63381 Jenks Ave,Philadelphia,Philadelphia,PA,19134,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
6651 Municipal Rd,Houma,Terrebonne,LA,70360,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
81 Norris Ave #525,Ronkonkoma,Suffolk,NY,11779,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
6916 W Main St,Sacramento,Sacramento,CA,95827,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
9635 S Main St,Boise,Ada,ID,83704,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
17 Us Highway 111,Round Rock,Williamson,TX,78664,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
992 Civic Center Dr,Philadelphia,Philadelphia,PA,19123,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
